TransactionId,RamenId,Quantity
277,315,4
278,714,9
279,5,2
280,972,7
281,21,2
282,806,2
283,808,3
284,671,7
285,869,8
286,580,4
287,911,5
288,990,7
289,458,1
290,875,6
291,569,4
292,788,8
293,125,6
294,1060,7
295,994,3
296,927,4
297,532,5
298,153,7
299,322,1
300,568,4
301,237,1
302,264,4
303,664,4
304,4,8
305,120,7
306,1162,7
307,87,6
308,1065,4
309,919,8
310,803,8
311,137,5
312,747,6
313,22,5
314,942,1
315,492,5
316,87,4
317,631,8
318,389,4
319,354,2
320,1125,7
321,933,4
322,133,7
323,295,7
324,165,9
325,499,7
326,481,8
327,369,8
328,184,4
329,239,7
330,747,4
331,22,4
332,108,2
333,783,9
334,659,6
335,1022,9
336,282,3
337,843,5
338,124,3
339,387,9
340,400,10
341,378,8
342,710,7
343,652,5
344,876,10
345,348,6
346,3,4
347,118,7
348,523,6
349,1174,10
350,954,9
351,467,4
352,23,6
353,675,10
354,4,10
355,302,1
356,576,2
357,415,10
358,1128,10
359,1052,5
360,194,4
361,306,3
362,244,3
363,609,5
364,51,4
365,323,5
366,158,10
367,806,9
368,464,7
369,176,3
370,1115,8
371,357,3
372,9,9
373,1095,5
374,416,2
375,909,5
376,967,8
377,420,10
378,478,3
379,1060,3
380,649,2
381,490,6
382,887,9
383,1032,2
384,884,5
385,959,9
386,255,2
387,296,2
388,993,4
389,1086,4
390,1177,7
391,321,6
392,771,3
393,845,10
394,1036,10
395,1052,8
396,676,4
397,666,2
398,1079,3
399,688,3
400,507,10
401,1018,9
402,950,1
403,378,8
404,378,2
405,747,9
406,642,1
407,880,1
408,190,5
409,167,8
410,409,10
411,327,4
412,629,1
413,623,10
414,341,9
415,973,9
416,257,6
417,1055,9
418,667,4
419,770,9
420,367,7
421,65,5
422,274,7
423,473,9
424,914,6
425,334,1
426,463,5
427,914,8
428,178,2
429,236,1
430,473,1
431,799,6
432,179,10
433,657,3
434,788,5
435,370,7
436,261,4
437,1119,4
438,819,1
439,255,10
440,198,1
441,675,1
442,712,8
443,731,2
444,4,1
445,934,3
446,540,1
447,210,6
448,510,10
449,1074,1
450,242,2
451,916,10
452,168,7
453,748,1
454,781,10
455,940,9
456,586,1
457,1120,4
458,341,3
459,1180,5
460,918,9
461,375,1
462,1021,1
463,327,8
464,56,4
465,497,6
466,1166,7
467,96,7
468,1120,6
469,1188,7
470,367,3
471,114,7
472,443,4
473,911,2
474,231,1
475,998,1
476,191,7
477,391,4
478,1089,2
479,1043,3
480,504,6
481,924,4
482,455,7
483,843,6
484,1168,9
485,289,5
486,1028,6
487,307,1
488,160,9
489,823,10
490,189,1
491,926,9
492,740,7
493,1094,10
494,724,1
495,673,10
496,74,10
497,635,9
498,1060,10
499,744,1
500,1100,7
501,1079,2
502,342,4
503,91,10
504,38,3
505,205,9
506,1165,9
507,547,2
508,806,9
509,92,8
510,347,5
511,290,5
512,568,9
513,364,7
514,147,5
515,802,2
516,353,3
517,831,5
518,676,6
519,691,7
520,416,10
521,603,7
522,19,2
523,152,7
524,780,8
525,933,4
526,835,2
527,1133,7
528,43,4
529,1082,4
530,680,7
531,979,2
532,725,6
533,287,4
534,527,4
535,369,9
536,521,8
537,539,7
538,364,4
539,219,6
540,871,6
541,532,4
542,848,1
543,763,6
544,338,7
545,1060,7
546,819,6
547,907,6
548,1153,2
549,462,10
550,8,9
551,434,1
552,823,9
553,324,7
554,55,7
555,48,2
556,421,10
557,580,8
558,118,4
559,639,7
560,393,9
561,122,10
562,374,3
563,771,6
564,1059,7
565,1139,8
566,1136,5
567,519,4
568,314,8
569,813,1
570,845,1
571,791,7
572,222,5
573,1032,5
574,575,10
575,128,10
576,147,10
577,949,9
578,277,10
579,159,2
580,1109,6
581,446,5
582,608,3
583,975,3
584,46,1
585,471,9
586,1103,9
587,1069,9
588,1134,9
589,289,9
590,172,4
591,714,5
592,405,10
593,24,7
594,397,9
595,458,9
596,116,1
597,106,1
598,334,3
599,867,3
600,60,9
601,535,6
602,734,6
603,578,1
604,241,5
605,705,8
606,837,10
607,1045,10
608,739,1
609,751,10
610,1172,9
611,32,5
612,211,9
613,1186,3
614,954,8
615,250,10
616,343,8
617,887,7
618,522,4
619,212,2
620,937,1
621,734,10
622,125,10
623,1122,9
624,1107,8
625,512,3
626,351,4
627,62,6
628,1024,1
629,594,1
630,65,3
631,1066,6
632,928,3
633,971,3
634,572,4
635,416,2
636,654,4
637,1164,5
638,1046,3
639,825,9
640,592,7
641,386,6
642,1129,4
643,1124,2
644,758,10
645,334,9
646,360,6
647,1046,3
648,131,2
649,1191,10
650,645,10
651,540,3
652,359,5
653,764,1
654,720,8
655,780,6
656,835,3
657,1149,5
658,1150,10
659,160,7
660,46,6
661,981,5
662,702,10
663,777,9
664,358,2
665,762,5
666,118,4
667,666,8
668,6,4
669,546,4
670,369,3
671,1126,10
672,720,7
673,86,7
674,415,6
675,722,2
676,442,3
677,474,3
678,684,5
679,1091,4
680,1068,8
681,610,3
682,1154,6
683,719,8
684,1189,7
685,1037,6
686,901,6
687,228,2
688,443,2
689,1180,10
690,752,2
691,649,5
692,880,7
693,175,1
694,190,4
695,162,3
696,49,1
697,80,2
698,720,5
699,233,5
700,135,10
701,1139,1
702,854,7
703,8,10
704,886,10
705,464,5
706,500,7
707,349,1
708,1168,4
709,933,5
710,937,6
711,669,7
712,181,9
713,233,2
714,414,10
715,586,1
716,485,10
717,587,3
718,846,5
719,580,5
720,672,10
721,37,2
722,432,2
723,214,4
724,212,5
725,921,3
726,1077,9
727,98,10
728,741,5
729,363,4
730,858,8
731,73,8
732,620,3
733,1000,10
734,435,3
735,735,2
736,912,4
737,763,8
738,463,8
739,949,8
740,842,8
741,1056,9
742,911,6
743,861,4
744,590,5
745,1018,4
746,427,3
747,456,6
748,410,9
749,1089,7
750,145,10
751,836,2
752,609,9
753,240,4
754,583,1
755,136,5
756,1133,5
757,1132,1
758,851,6
759,107,4
760,1083,1
761,930,4
762,47,1
763,68,6
764,508,2
765,975,3
766,918,6
767,663,10
768,1184,6
769,466,9
770,693,7
771,357,2
772,1078,4
773,537,8
774,500,8
775,863,9
776,1118,10
777,675,4
778,294,6
779,707,6
780,112,1
781,816,1
782,728,4
783,103,5
784,1196,6
785,996,8
786,833,5
787,762,9
788,573,6
789,1148,3
790,91,1
791,1179,5
792,564,8
793,614,5
794,1167,3
795,782,4
796,535,2
797,649,8
798,672,7
799,816,10
800,157,3
801,1026,9
802,664,6
803,78,8
804,999,1
805,485,3
806,1052,5
807,1172,4
808,1115,4
809,137,4
810,863,2
811,9,7
812,714,6
813,58,10
814,1051,4
815,351,2
816,16,1
817,119,9
818,198,5
819,720,7
820,526,9
821,906,7
822,1009,3
823,672,2
824,302,8
825,560,2
826,391,8
827,291,2
828,479,2
829,578,6
830,590,8
831,947,2
832,991,6
833,20,6
834,562,3
835,571,2
836,96,5
837,58,4
838,646,8
839,509,8
840,837,8
841,76,2
842,393,1
843,785,9
844,565,6
845,603,6
846,117,6
847,1108,9
848,1099,10
849,126,1
850,801,2
851,444,8
852,1032,2
853,126,6
854,737,2
855,661,1
856,332,3
857,509,3
858,1085,5
859,499,7
860,662,6
861,651,6
862,897,5
863,668,3
864,652,6
865,559,7
866,691,6
867,945,6
868,262,2
869,1083,7
870,820,6
871,238,10
872,533,8
873,460,8
874,49,9
875,424,5
876,38,8
877,995,4
878,1141,2
879,731,2
880,908,9
881,439,9
882,821,9
883,536,5
884,1106,3
885,272,4
886,290,7
887,805,2
888,882,2
889,224,6
890,1169,6
891,383,6
892,441,5
893,11,1
894,123,3
895,917,9
896,282,6
897,1166,10
898,838,8
899,272,2
900,301,7
901,871,1
902,479,3
903,1042,3
904,972,7
905,829,2
906,506,8
907,1098,3
908,79,4
909,229,9
910,889,2
911,154,3
912,185,10
913,1048,10
914,532,8
915,788,8
916,1012,2
917,1041,1
918,1120,1
919,771,9
920,853,8
921,16,10
922,196,3
923,797,6
924,591,5
925,423,6
926,1144,2
927,791,9
928,686,2
929,1189,5
930,1100,5
931,236,1
932,1060,1
933,1001,7
934,112,9
935,642,9
936,627,4
937,702,9
938,1139,10
939,1078,5
940,699,9
941,636,10
942,209,6
943,80,9
944,254,4
945,558,7
946,523,7
947,82,3
948,116,1
949,112,10
950,743,2
951,1189,4
952,439,1
953,710,7
954,737,3
955,180,6
956,949,5
957,534,6
958,1193,9
959,441,8
960,194,7
961,525,6
962,160,10
963,1034,7
964,599,4
965,1099,3
966,1092,9
967,370,1
968,538,4
969,1041,7
970,855,7
971,925,5
972,145,9
973,888,9
974,541,10
975,3,10
976,312,10
977,993,5
978,969,6
979,376,10
980,123,9
981,519,9
982,475,7
983,630,5
984,887,7
985,1120,5
986,335,9
987,395,10
988,438,3
989,929,6
990,577,3
991,591,2
992,617,4
993,1175,10
994,804,6
995,748,7
996,432,10
997,634,9
998,713,8
999,440,2
1000,252,3
1001,288,1
1002,79,1
1003,646,5
1004,615,1
1005,705,6
1006,883,5
1007,1177,6
1008,312,6
1009,125,3
1010,391,6
1011,553,8
1012,143,6
1013,620,9
1014,1137,3
1015,138,6
1016,717,10
1017,821,8
1018,562,6
1019,767,6
1020,1007,6
1021,761,2
1022,966,6
1023,357,7
1024,137,10
1025,178,2
1026,912,1
1027,937,6
1028,658,3
1029,925,6
1030,825,4
1031,1034,4
1032,987,6
1033,36,1
1034,394,5
1035,211,6
1036,356,7
1037,18,8
1038,753,2
1039,764,4
1040,452,2
1041,333,1
1042,211,7
1043,772,3
1044,962,9
1045,777,1
1046,446,1
1047,244,9
1048,8,10
1049,610,2
1050,364,7
1051,581,10
1052,147,3
1053,954,2
1054,66,10
1055,907,10
1056,1199,3
1057,1084,1
1058,701,4
1059,742,5
1060,113,4
1061,378,3
1062,98,6
1063,984,5
1064,210,9
1065,223,3
1066,16,6
1067,993,1
1068,610,5
1069,971,3
1070,684,10
1071,705,9
1072,485,4
1073,196,8
1074,770,3
1075,103,4
1076,928,2
1077,268,2
1078,932,9
1079,999,5
1080,975,9
1081,502,10
1082,518,5
1083,531,1
1084,78,2
1085,1117,6
1086,1108,5
1087,507,1
1088,1032,1
1089,626,2
1090,872,1
1091,324,9
1092,310,8
1093,622,5
1094,423,10
1095,824,10
1096,74,8
1097,885,9
1098,846,6
1099,304,8
1100,614,4
1101,1157,7
1102,308,5
1103,16,10
1104,6,7
1105,524,6
1106,373,5
1107,604,2
1108,1070,9
1109,1163,6
1110,84,8
1111,1089,7
1112,763,3
1113,1047,6
1114,887,9
1115,786,10
1116,1094,6
1117,253,7
1118,590,10
1119,874,8
1120,1101,2
1121,1093,10
1122,350,10
1123,300,9
1124,1043,3
1125,709,7
1126,79,1
1127,18,9
1128,868,4
1129,1118,6
1130,399,8
1131,332,8
1132,395,3
1133,769,9
1134,354,10
1135,1030,1
1136,1011,9
1137,290,10
1138,1109,9
1139,756,6
1140,371,2
1141,817,10
1142,428,5
1143,858,7
1144,300,8
1145,96,4
1146,610,2
1147,391,1
1148,761,6
1149,188,10
1150,23,5
1151,303,4
1152,933,6
1153,991,4
1154,829,10
1155,1099,6
1156,18,9
1157,944,6
1158,165,10
1159,686,8
1160,743,8
1161,764,1
1162,1078,7
1163,400,10
1164,484,6
1165,153,8
1166,1066,3
1167,747,3
1168,418,4
1169,50,3
1170,565,8
1171,894,9
1172,694,10
1173,852,8
1174,1014,4
1175,1030,1
1176,849,2
1177,651,6
1178,959,4
1179,405,9
1180,682,5
1181,935,9
1182,1152,5
1183,347,8
1184,97,7
1185,493,4
1186,1109,9
1187,310,10
1188,153,10
1189,1076,6
1190,747,7
1191,410,10
1192,914,8
1193,299,2
1194,810,2
1195,831,1
1196,681,1
1197,605,10
1198,128,6
1199,170,4
1200,24,3
1201,238,3
1202,376,6
1203,71,3
1204,1045,9
1205,1097,9
1206,816,9
1207,452,8
1208,1171,1
1209,1018,4
1210,791,5
1211,775,10
1212,98,8
1213,971,10
1214,799,2
1215,447,7
1216,523,8
1217,559,8
1218,137,2
1219,545,3
1220,1121,9
1221,282,9
1222,168,9
1223,1117,5
1224,144,8
1225,156,9
1226,810,10
1227,560,9
1228,315,6
1229,460,1
1230,53,9
1231,184,9
1232,1132,2
1233,127,9
1234,564,10
1235,979,5
1236,70,2
1237,322,10
1238,377,6
1239,404,10
1240,899,1
1241,1015,6
1242,648,4
1243,1186,10
1244,1143,4
1245,611,3
1246,768,8
1247,701,7
1248,89,2
1249,486,2
1250,665,8
1251,381,8
1252,61,7
1253,408,5
1254,356,2
1255,1178,6
1256,1107,2
1257,1133,7
1258,561,7
1259,14,4
1260,535,5
1261,504,6
1262,705,9
1263,806,7
1264,122,5
1265,439,7
1266,82,3
1267,1045,7
1268,759,4
1269,3,3
1270,633,7
1271,509,3
1272,1200,6
1273,896,9
1274,302,6
1275,484,4
1276,1095,8
1277,171,4
1278,886,8
1279,1111,8
1280,1001,9
1281,1144,10
1282,43,5
1283,149,10
1284,1147,5
1285,1149,6
1286,13,4
1287,876,7
1288,863,4
1289,59,1
1290,1179,1
1291,587,7
1292,598,9
1293,61,6
1294,354,8
1295,77,4
1296,262,9
1297,733,10
1298,563,3
1299,486,1
1300,364,5
1301,516,7
1302,462,3
1303,421,4
1304,174,10
1305,311,2
1306,40,8
1307,573,3
1308,346,1
1309,551,3
1310,1085,4
1311,348,8
1312,683,6
1313,942,10
1314,1055,7
1315,926,3
1316,687,5
1317,917,9
1318,819,9
1319,293,8
1320,998,6
1321,432,7
1322,67,7
1323,830,10
1324,1079,7
1325,840,8
1326,887,6
1327,133,7
1328,727,7
1329,580,6
1330,479,2
1331,1104,3
1332,602,7
1333,415,6
1334,1031,10
1335,968,6
1336,163,5
1337,303,5
1338,1075,1
1339,847,6
1340,848,9
1341,614,3
1342,609,8
1343,636,10
1344,782,2
1345,341,9
1346,432,1
1347,386,4
1348,597,6
1349,798,8
1350,84,1
1351,227,7
1352,263,10
1353,343,1
1354,317,10
1355,1190,9
1356,730,9
1357,62,8
1358,687,7
1359,746,8
1360,441,7
1361,832,8
1362,477,1
1363,355,5
1364,802,10
1365,195,2
1366,32,2
1367,429,3
1368,663,8
1369,658,9
1370,632,3
1371,913,10
1372,228,1
1373,567,1
1374,184,1
1375,934,6
1376,869,3
1377,1093,10
1378,732,1
1379,694,3
1380,758,5
1381,27,4
1382,62,1
1383,841,5
1384,29,2
1385,1052,1
1386,214,2
1387,202,4
1388,1192,6
1389,360,5
1390,1007,6
1391,582,5
1392,857,10
1393,281,1
1394,860,5
1395,1176,4
1396,362,1
1397,115,5
1398,346,9
1399,361,5
1400,94,1
1401,586,6
1402,814,7
1403,1118,8
1404,176,10
1405,652,9
1406,481,5
1407,198,5
1408,300,7
1409,618,7
1410,3,3
1411,716,8
1412,498,6
1413,800,3
1414,601,6
1415,610,8
1416,575,1
1417,376,3
1418,1120,1
1419,1163,6
1420,151,5
1421,190,10
1422,1117,10
1423,581,5
1424,506,6
1425,1151,6
1426,745,8
1427,305,10
1428,940,7
1429,919,10
1430,450,7
1431,355,2
1432,158,5
1433,145,1
1434,361,10
1435,358,5
1436,616,8
1437,977,5
1438,509,2
1439,335,9
1440,329,9
1441,756,1
1442,801,2
1443,150,6
1444,271,1
1445,282,7
1446,121,2
1447,929,4
1448,243,1
1449,283,9
1450,491,3
1451,841,1
1452,763,1
1453,611,10
1454,67,8
1455,879,10
1456,411,9
1457,21,6
1458,187,3
1459,967,5
1460,1194,8
1461,568,1
1462,80,4
1463,352,7
1464,1104,1
1465,803,6
1466,1011,6
1467,444,8
1468,108,4
1469,1062,5
1470,744,4
1471,256,10
1472,761,10
1473,66,9
1474,247,8
1475,431,3
1476,1140,2
1477,618,2
1478,808,10
1479,307,2
1480,1114,4
1481,391,9
1482,886,7
1483,413,10
1484,579,2
1485,159,2
1486,199,9
1487,484,7
1488,18,9
1489,1191,2
1490,112,2
1491,1114,4
1492,11,7
1493,1119,2
1494,1090,8
1495,601,9
1496,28,4
1497,852,6
1498,603,7
1499,404,4
1500,128,5
1501,1080,1
1502,1181,9
1503,538,2
1504,655,6
1505,596,10
1506,1138,8
1507,467,4
1508,348,9
1509,901,4
1510,254,8
1511,698,2
1512,890,7
1513,188,3
1514,1017,2
1515,801,7
1516,942,7
1517,636,6
1518,134,2
1519,119,8
1520,602,1
1521,679,4
1522,288,5
1523,77,2
1524,198,3
1525,544,7
1526,322,4
1527,1187,4
1528,497,1
1529,648,2
1530,6,1
1531,577,3
1532,1161,6
1533,842,7
1534,245,4
1535,1012,1
1536,830,7
1537,513,7
1538,1058,1
1539,990,10
1540,2,2
1541,1064,1
1542,1193,3
1543,151,10
1544,83,3
1545,1123,3
1546,128,1
1547,32,2
1548,225,5
1549,247,2
1550,1113,2
1551,1172,8
1552,278,10
1553,223,1
1554,1085,1
1555,750,2
1556,585,5
1557,857,1
1558,1159,7
1559,481,7
1560,527,6
1561,975,7
1562,124,3
1563,835,5
1564,918,7
1565,482,7
1566,574,4
1567,46,4
1568,799,8
1569,1130,2
1570,904,3
1571,218,5
1572,880,10
1573,609,2
1574,1155,2
1575,889,7
1576,1007,1
1577,662,10
1578,912,7
1579,702,2
1580,394,9
1581,7,8
1582,1154,9
1583,957,7
1584,142,9
1585,755,4
1586,347,3
1587,865,1
1588,606,3
1589,541,6
1590,951,3
1591,125,6
1592,1033,3
1593,612,8
1594,206,7
1595,761,4
1596,1155,6
1597,473,8
1598,572,1
1599,554,8
1600,335,7
1601,14,6
1602,158,1
1603,207,4
1604,78,2
1605,95,2
1606,236,2
1607,257,6
1608,553,5
1609,580,2
1610,859,1
1611,615,10
1612,29,4
1613,470,8
1614,161,10
1615,373,10
1616,1037,4
1617,475,5
1618,430,2
1619,71,5
1620,338,7
1621,1028,4
1622,157,1
1623,1000,9
1624,799,5
1625,442,8
1626,412,5
1627,642,2
1628,1058,6
1629,808,2
1630,188,10
1631,897,10
1632,1020,1
1633,320,2
1634,804,3
1635,346,5
1636,1167,5
1637,232,3
1638,680,6
1639,105,6
1640,837,9
1641,667,5
1642,325,9
1643,1045,6
1644,855,6
1645,98,9
1646,244,5
1647,219,5
1648,895,2
1649,841,8
1650,29,5
1651,104,10
1652,509,4
1653,461,3
1654,749,7
1655,976,9
1656,441,5
1657,1131,1
1658,165,8
1659,322,10
1660,11,7
1661,627,6
1662,863,9
1663,177,10
1664,1004,6
1665,643,7
1666,281,9
1667,790,8
1668,135,6
1669,160,8
1670,429,4
1671,303,10
1672,1171,8
1673,904,9
1674,362,1
1675,685,10
1676,949,1
1677,1033,6
1678,134,8
1679,805,5
1680,195,2
1681,749,10
1682,237,2
1683,1161,6
1684,69,3
1685,582,9
1686,321,3
1687,905,4
1688,187,5
1689,572,2
1690,142,7
1691,1114,3
1692,1092,10
1693,498,10
1694,16,2
1695,9,2
1696,1131,1
1697,301,7
1698,971,4
1699,118,10
1700,774,10
1701,1063,6
1702,30,3
1703,1194,5
1704,1176,5
1705,826,9
1706,301,7
1707,1123,5
1708,107,10
1709,983,7
1710,808,8
1711,69,2
1712,730,1
1713,509,7
1714,132,2
1715,692,1
1716,768,2
1717,529,1
1718,1173,2
1719,563,5
1720,510,10
1721,86,4
1722,55,7
1723,311,5
1724,506,6
1725,925,8
1726,82,5
1727,491,6
1728,80,3
1729,1184,2
1730,423,5
1731,174,10
1732,69,6
1733,887,7
1734,880,2
1735,1173,7
1736,735,6
1737,544,1
1738,256,10
1739,760,5
1740,1123,9
1741,593,6
1742,907,6
1743,1007,4
1744,1095,7
1745,1080,5
1746,679,4
1747,630,3
1748,96,1
1749,1178,7
1750,1135,9
1751,492,5
1752,416,3
1753,802,3
1754,921,8
1755,614,7
1756,745,4
1757,915,2
1758,484,10
1759,885,2
1760,898,5
1761,509,2
1762,614,5
1763,66,4
1764,894,9
1765,558,5
1766,661,3
1767,417,4
1768,451,5
1769,21,7
1770,442,9
1771,134,8
1772,1133,6
1773,115,10
1774,977,10
1775,89,9
1776,233,10
1777,597,9
1778,522,2
1779,726,6
1780,85,1
1781,373,4
1782,1108,6
1783,1009,6
1784,1124,9
1785,827,9
1786,389,8
1787,540,7
1788,121,8
1789,626,8
1790,871,1
1791,987,7
1792,1017,6
1793,425,1
1794,1174,5
1795,18,2
1796,45,4
1797,1138,8
1798,438,10
1799,749,8
1800,419,10
1801,150,1
1802,1089,9
1803,834,1
1804,573,1
1805,216,9
1806,1167,9
1807,384,5
1808,668,4
1809,30,10
1810,1180,9
1811,31,9
1812,296,4
1813,828,4
1814,35,2
1815,1160,10
1816,78,9
1817,336,9
1818,397,8
1819,118,6
1820,1028,2
1821,850,2
1822,826,5
1823,668,5
1824,340,4
1825,975,4
1826,571,10
1827,919,9
1828,52,5
1829,525,7
1830,456,10
1831,879,2
1832,131,3
1833,167,3
1834,921,1
1835,948,4
1836,958,9
1837,521,2
1838,199,1
1839,445,4
1840,683,10
1841,821,8
1842,734,8
1843,846,1
1844,1114,1
1845,442,10
1846,241,2
1847,636,8
1848,838,9
1849,1173,3
1850,823,1
1851,785,3
1852,474,1
1853,56,5
1854,385,4
1855,624,10
1856,120,5
1857,1150,5
1858,1007,10
1859,959,5
1860,1081,3
1861,1014,10
1862,874,1
1863,1065,8
1864,636,7
1865,522,4
1866,172,1
1867,975,2
1868,1172,3
1869,498,4
1870,873,6
1871,657,6
1872,1046,9
1873,542,5
1874,949,1
1875,911,1
1876,6,1
1877,538,2
1878,1129,1
1879,66,9
1880,682,9
1881,782,4
1882,631,8
1883,692,8
1884,58,9
1885,964,3
1886,421,10
1887,1164,2
1888,631,7
1889,258,10
1890,771,4
1891,835,1
1892,226,9
1893,852,6
1894,792,9
1895,721,7
1896,336,6
1897,1021,8
1898,721,8
1899,481,6
1900,1044,5
1901,406,9
1902,763,1
1903,571,9
1904,12,8
1905,845,2
1906,682,10
1907,822,9
1908,120,4
1909,81,1
1910,505,8
1911,921,8
1912,710,8
1913,791,10
1914,1129,1
1915,985,10
1916,654,7
1917,380,7
1918,228,9
1919,910,10
1920,1170,10
1921,759,3
1922,1022,9
1923,602,9
1924,785,2
1925,40,1
1926,669,2
1927,561,4
1928,108,2
1929,807,1
1930,859,10
1931,955,3
1932,602,5
1933,492,7
1934,838,2
1935,291,6
1936,231,9
1937,735,3
1938,657,9
1939,177,3
1940,470,8
1941,1013,2
1942,254,8
1943,795,3
1944,1055,7
1945,282,5
1946,859,3
1947,38,3
1948,667,9
1949,898,2
1950,771,3
1951,580,4
1952,197,7
1953,441,5
1954,812,5
1955,1072,6
1956,334,7
1957,263,4
1958,105,8
1959,159,5
1960,386,4
1961,895,10
1962,226,8
1963,818,6
1964,861,7
1965,353,7
1966,741,3
1967,539,4
1968,939,1
1969,141,6
1970,750,8
1971,1141,9
1972,1048,5
1973,176,2
1974,132,7
1975,467,10
1976,1192,10
1977,1115,1
1978,192,7
1979,577,2
1980,891,5
1981,6,9
1982,1050,1
1983,833,8
1984,763,1
1985,293,2
1986,65,4
1987,812,4
1988,328,7
1989,951,4
1990,374,4
1991,283,9
1992,51,6
1993,1063,7
1994,1036,10
1995,1117,1
1996,140,7
1997,808,4
1998,376,5
1999,629,5
2000,53,9
2001,777,7
2002,263,9
2003,20,8
2004,424,10
2005,832,6
2006,732,4
2007,801,3
2008,1181,1
2009,1014,5
2010,118,7
2011,806,1
2012,534,4
2013,626,3
2014,709,7
2015,92,8
2016,415,1
2017,203,7
2018,179,6
2019,1100,6
2020,831,3
2021,256,1
2022,145,4
2023,934,8
2024,468,5
2025,838,7
2026,506,10
2027,80,2
2028,113,4
2029,200,5
2030,801,5
2031,534,8
2032,884,5
2033,238,7
2034,436,10
2035,257,6
2036,492,8
2037,1085,3
2038,992,10
2039,862,5
2040,160,1
2041,95,4
2042,204,7
2043,697,3
2044,164,9
2045,486,3
2046,914,8
2047,259,4
2048,406,3
2049,948,6
2050,1101,8
2051,961,6
2052,1049,4
2053,277,5
2054,888,4
2055,1100,8
2056,241,10
2057,629,4
2058,584,2
2059,313,5
2060,14,3
2061,1010,10
2062,110,10
2063,186,9
2064,1136,8
2065,976,3
2066,478,10
2067,806,9
2068,623,8
2069,176,2
2070,404,6
2071,1172,10
2072,898,6
2073,887,10
2074,1038,8
2075,816,6
2076,900,3
2077,786,5
2078,587,4
2079,1015,8
2080,628,7
2081,293,4
2082,1156,2
2083,946,3
2084,556,7
2085,573,4
2086,193,4
2087,353,1
2088,1108,5
2089,670,10
