BrandId,BrandName,EstablishedYear
341,Fu Chang Chinese Noodle Company,2012
342,Sanyo Foods,2015
343,Rocket Brand,2013
344,Boss,2017
345,Chorip Dong,2010
346,Higashi,2018
347,Sakurai,2017
348,Global Inspiration,2014
349,Teriyaki Time,2019
350,Hua Feng Noodle Expert,2010
351,Kim Ve Wong,2015
352,Smack,2015
353,Sutah,2017
354,Tung-I,2010
355,Westbrae,2015
