RamenId,BrandId,RamenName,RamenStyleId,CountryId,RamenPrice
52,26,Gotsumori Chanpon Ramen,4,1,5000
53,27,Juzz's Mee Creamy Chicken Flavour (Export Version),2,6,9000
54,25,Mushroom Flavor,2,9,19000
55,6,Jjamppong Big Bowl,4,5,15000
56,28,Curry Udon,2,1,23000
57,3,Straits Reborn Laksa,2,6,10000
58,13,Budae Jjigae Noodle Soup,2,5,18000
59,29,Hearty Japanese Style Curry Udon,2,1,47000
60,3,Cup Noodles Potato Chips Black Pepper Crab Flavour,2,6,36000
61,3,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),1,6,12000
62,30,Anchovy Flavor Guava Rice Noodles,3,5,7000
63,31,Umami Ramen,2,1,22000
64,8,Nabeyaki Tempura Udoin,4,1,5000
65,24,Hokkaido Hakodate Miso Ramen,2,1,47000
66,25,Man Han Feast Spicy Beef Flavor Instant Noodles,4,2,46000
67,32,Kirin Giraffe Shoyu Ramen,2,1,26000
68,33,Nissin Top Ramen Chicken Flavor Potato Crisps ,6,3,17000
69,34,Dan Dan Noodle,2,2,17000
70,6,Samyang Ramen Classic Edition,4,5,5000
71,19,Penang Red Tom Yum Goong Noodle,2,11,29000
72,35,Hot Heads Green Chilli Noodles,2,4,17000
73,6,Mala Buldak Bokkeummyun,2,5,34000
74,36,RMy Noodlez Rumput Laut,2,12,13000
75,10,Delight Chicken Flavor Instant Non-Fried Noodles,2,6,41000
76,7,Super Cup Torigawa Shoyu,4,1,11000
77,13,Shin Ramyun,2,5,36000
78,21,Sweet Potato Instant Noodle Sout-Hot Flavor,4,13,10000
79,36,Onion Chicken Flavor,2,14,15000
80,37,Toona Paste Noodle,2,2,14000
81,38,Supreme Creamy Tom Yum Noodle,5,11,13000
82,10,Creamy Soup With Crushed Noodles Chicken Flavor,1,6,43000
83,3,Demae Ramen Spicy Beef,2,15,21000
84,3,Cup Noodles Spicy,1,15,40000
85,3,Soba Thai,2,15,20000
86,3,Cup Noodles Huhn (Chicken),1,15,7000
87,3,Demae Ramen Korean Kimchi,2,15,29000
88,3,Cup Noodles Curry,1,15,39000
89,3,Smack Chili,2,16,20000
90,3,Soba Yakitori Chicken,1,15,40000
91,3,Demae Ramen Garlic Chicken,2,15,31000
92,3,Cup Noodles Ente (Duck),1,15,22000
93,3,Demae Ramen Thai Tom Yum,2,15,26000
94,3,Soba Sukiyaki Beef,1,15,23000
95,3,Demae Ramen Spicy,2,15,45000
96,3,Cup Noodles Shrimps,1,15,10000
97,3,Demae Ramen Tokyo Soy Sauce,2,15,35000
98,16,Bul Jjamppong,4,5,44000
99,39,Chicken With Chinese Shaoxing Wine,2,2,44000
100,6,Buldak Bokkeummyun,1,5,24000
101,7,Pork Wantan Men,4,1,32000
102,40,Instant Noodles Chicken Flavour,2,11,50000
103,41,Scallion Oil & Soy Sauce Noodle,2,2,40000
104,41,Sichuan Spices Flavor Noodle,2,2,21000
105,6,Kimchi Stew Ramyun,4,5,12000
106,26,Seimen Red Spicy Dandan Men,4,1,5000
107,20,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,2,5,25000
108,42,Mini Instant Noodle Mild Curry Flavor,2,1,38000
109,43,Noodle Snack Wheat Cracks Seaweed Flavor,2,2,21000
110,3,Cup Noodles Mini Seafood Flavour,1,8,48000
111,44,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,2,3,20000
112,10,Signature Curry Flavor Instant Noodles,1,6,39000
113,7,Dossari Yasai Chanpon,1,1,50000
114,16,Volcano Curry Kkokkomyun,2,5,11000
115,45,Instant Noodle King Pepper Duck Flavour Soup,2,8,26000
116,3,Cup Noodles XO Sauce Seafood,1,13,34000
117,46,Extreme Spicy Hot Chicken Flavor Udon,4,5,41000
118,3,Gekikara Ramen Rasa Pedas,2,12,12000
119,39,Sesame Oil Chicken Noodle With Rice Wine,4,2,48000
120,24,Hokkaido Hakodate Shio Ramen,2,1,20000
121,47,Katsuo Bowl Udon,4,3,29000
122,3,Cup Noodles MUG Shoyu & Seafood,2,1,34000
123,6,Sari Ramen,2,5,18000
124,10,Instant Noodles Chicken Satay Flavour,2,6,46000
125,10,Signature Spicy Singapore Fried Noodles Instant Noodles,2,6,28000
126,10,Creamy Soup With Crushed Noodles Sweet Corn Flavor,1,6,26000
127,10,Silk Beef Pho Flavor Instant Rice Fettuccine,4,6,45000
128,10,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,2,6,31000
129,10,Signature Laksa Singapura Instant Noodles,4,6,22000
130,10,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,2,6,8000
131,10,Purple Wheat Noodles Chili & Lime Flavor,2,6,32000
132,10,Delight Tomato Flavor Instant Non-Fried Noodles,2,6,11000
133,10,Seafood Flavor Instant Noodles,1,6,34000
134,10,Signature Stir-Fry Original Flavor Instant Noodles,2,6,26000
135,10,Creamy Soup Witrh Crushed Noodles Curry Flavor,1,6,48000
136,10,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,2,6,33000
137,10,Silk Spicy Marinara Instant Rice Fettuccine,4,6,13000
138,10,Signature Chicken Flavor Instant Noodles,1,6,14000
139,3,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,1,17,33000
140,19,Penang Hokkien Prawn Flavor Noodle,5,1,12000
141,48,Roasted Pork Noodle,2,13,46000
142,25,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,4,2,7000
143,49,Mi Goreng Original Flavour Fried Noodles,2,12,35000
144,3,Raoh Nojyuku Toro Tonkotsu Ramen,4,1,8000
145,50,Artificial Dongpo's Braised Pork Flavour,2,8,34000
146,51,Lau Tom Chua Cay,2,9,27000
147,37,Old Beijing Fried Bean Sauce Noodle,2,2,43000
148,3,Cup Noodles Indonesia Mie Goreng,1,1,13000
149,52,Yummy Spicy Rice Soup With Seafood,4,7,24000
150,53,Udon Japanese Style Fresh Noodle,4,3,36000
151,19,MeeKuali Bihun Sup Rempah Perisa Daging,2,11,11000
152,1,T's Restaurant Sura Tanmen,1,1,6000
153,39,Sesame Oil Chicken With Rice Wine Noodle,4,2,12000
154,54,HALAL Chicken Shoyu Sauce Ramen,2,1,40000
155,55,Vegan Pad Thai Noodle Soup,1,3,16000
156,3,Seafood Flavour Rice Vermicelli,1,8,48000
157,6,Cheese Type Buldak Bokkeummyun (Black Pkg),2,5,33000
158,56,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,2,2,14000
159,3,Cup Noodles Sopa Nissin Con Camaron Picante,1,17,35000
160,25,Baseball Snack Noodle,2,2,32000
161,3,Cup Noodles Spicy Seafood Flavor,1,13,15000
162,19,Penang Red Tom Yum Goong,5,1,44000
163,44,Yomise No Yakisoba Karashi Mentaiko Flavor,3,1,10000
164,57,Bihun Kuah Rasa Baso Sapi,2,12,22000
165,58,Hot & Sour Beef Noodles,4,13,37000
166,3,Kitsune Udon Donbei (West),4,1,40000
167,59,Thailand Green Curry Instant Noodle,4,2,7000
168,3,Cup Noodles Beef Flavour,1,8,6000
169,60,Sanukiya Udon Shrimp Flavor,2,3,31000
170,61,Chicken Fajita Flavor Instant Ramen Noodles,2,3,48000
171,61,Lamb Stew Flavor Instant Ramen Noodles,2,3,5000
172,61,Seafood Gumbo Flavor Instant Ramen Noodles,2,3,26000
173,61,Chicken Taco Flavor Instant Ramen Noodles,2,3,11000
174,2,Chuan Wei Spicy Guan-miao Noodles,2,2,43000
175,21,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,2,13,31000
176,3,Cup Noodles Mini Spicy Seafood,1,8,37000
177,19,Penang Hokkien Prawn Noodle Soup,2,6,11000
178,62,Yakisoba Japanese Style Noodle,4,3,26000
179,35,Nutri-licious Pazzta Tomato Twist,2,4,11000
180,63,Chongqing Noodles Burning Dry Noodles,4,13,35000
181,3,Cup Noodles Tom Yam Seafood Flavour,1,6,8000
182,36,My Noodles Mi Goreng Pizza Cheese,2,12,43000
183,64,Shaanxi Cold Noodle: Mustard Spicy,3,13,23000
184,6,Cheese Buldak Bokkeummyun (Black),4,5,49000
185,35,2 Minute Noodles Chicken Flavour,2,18,36000
186,48,Chicken Flavor Instant Noolde,2,13,26000
187,3,Cup Noodles Prawn Flavour,1,8,31000
188,9,Hokkaido Miso Ramen,2,1,24000
189,19,Penang Red Tom Yum Goong Rice Vermicelli Soup,4,11,22000
190,20,Jin Jjambbong Spicy Seafood Ramyun,2,5,21000
191,3,Rice Vermicelli Pickled Vegetable Pork Flavour,1,8,20000
192,65,Imitation Chicken Flavor,1,3,22000
193,66,Three Fresh Delicacies Instant Noodle,2,13,31000
194,3,Demae Iccho Sesame Oil Flavour Instant Noodle,4,8,15000
195,35,2 Minute Noodles Curry Flavour,2,18,27000
196,25,Man Han Feast Chilli Beef Flavor Instant Noodles,4,2,22000
197,21,9999 Chongqing Artificial Beef Flavor Instant Noodle,2,13,50000
198,3,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),1,3,24000
199,13,Seaweed Instant Noodle,1,5,12000
200,3,Demae Iccho Seafood Flavour Instant Noodle,1,8,30000
201,67,Non-Fried Ramyun With Spicy Beef Broth,2,5,34000
202,3,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),1,3,39000
203,45,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,2,8,19000
204,19,Penang White Curry Instant Noodle (Japan Version),5,11,35000
205,3,Disney Cuties Instant Chicken With Corn Flavour,1,7,35000
206,25,Man Han Feast Braised Pork Flavor Instant Noodles,4,2,28000
207,49,Mi Goreng Garlic Flavour Fried Noodles,2,12,17000
208,3,Top Ramen Atta Nooldes Masala,2,4,33000
209,68,Instant Spicy Rice Noodle,4,13,10000
210,69,Tanuki Soba,1,1,43000
211,6,Zzaldduck Buldak Bokkeummyun Snack,2,5,26000
212,6,Curry Buldak Bokkeummyun,2,5,50000
213,6,Cool/Ice Buldak Bokkeummyun,2,5,48000
214,6,2x Spicy Haek Buldak Bokkeummyun,2,5,23000
215,6,Buldak Bokkeummyun Snack,2,5,29000
216,6,Stew Buldak Bokkeumtangmyun,2,5,43000
217,6,Cheese Buldak Bokkeummyun,2,5,17000
218,6,Buldak Bokkeummyun (New Packaging),2,5,16000
219,70,Bowl Instant Noodles Artificial Spicy Beef Flavor,4,13,46000
220,3,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),4,8,22000
221,71,Instant Noodles Artificial Chicken Flavoured,2,4,14000
222,69,Kitsune Udon,1,1,42000
223,63,Pickled Cabbage Flavor Instant Vermicelli,4,13,21000
224,72,Noodle King Artificial Wonton Soup Flavored,4,8,5000
225,13,Spicy Shrimp Cup Noodle,1,5,45000
226,73,Nagasaki Agodashi Shoyu Ramen,2,1,20000
227,74,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,4,9,27000
228,3,Cup Noodles Rich Garlic Egg Yolk & Oxtail,1,1,43000
229,25,Minced Pork Flavor Instant Noodles,2,2,22000
230,75,Chatpat Masala,2,4,38000
231,3,Cup Noodles BIG XO Sauce Seafood Flavour,1,8,27000
232,76,Noodles Chicken & Corn Flavour,1,19,21000
233,9,Hokkaido Salt Ramen,2,1,24000
234,3,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),4,8,5000
235,77,Chatt Patta Instant Noodles,2,20,8000
236,78,Clam Flavor Soup Kal-guksu,2,5,5000
237,3,Cup Noodles Sopa Nissin Sabor A Pollo,1,17,13000
238,3,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,1,17,15000
239,3,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,2,17,48000
240,3,Cup Noodles Sopa Nissin Sabor A Carne De Res,1,17,24000
241,3,RapiFideo Sabor A Tomate Y Pollo,1,17,44000
242,3,Cup Noodles Sopa Nissin Sabor Camaron Habanero Y Limon,1,17,41000
243,3,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,2,17,12000
244,3,Cup Noodles Sopa Nissin Con Camaron,1,17,37000
245,3,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,1,17,23000
246,3,Cup Noodles Gourmet Sabor A Caldo De Camaron,1,17,13000
247,3,Sopa Nissin Sabor Mariscos Habanero Y Limon,1,17,34000
248,3,Maxi Sopa Nissin Cuchareable Sabor A Pollo,1,17,29000
249,3,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,2,17,9000
250,3,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,1,17,14000
251,56,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,2,2,27000
252,79,Atta Noodles Jhatpat Banao Befikr Khao,2,4,30000
253,80,Shaanxi Cold Noot Hot & Sour Flavor,2,13,8000
254,3,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),1,3,5000
255,3,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,1,8,9000
256,81,Mr. Noodles Curry Flavor Instant Noodles,2,21,49000
257,16,Bul Jjajangmyeon,2,5,15000
258,32,Kirin Giraffe Shio Ramen,2,1,12000
259,82,Mie Kamayama Ramen Gyukotsu Misoaji,4,1,15000
260,45,Black Pepper XO Sauce Flavour,4,8,43000
261,3,Nupasta Bolognese Flavour Instant Noodle,1,1,48000
262,13,Saeutang Sabalmyeon,4,5,8000
263,37,Sichuan Spicy Flavor,2,2,22000
264,83,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,4,7,20000
265,3,Cup Noodle Spicy Curry Chicken,1,1,7000
266,62,Ramen Noodles Miso Flavor,4,3,44000
267,3,Cup Noodles Spicy Beef Flavour,1,8,29000
268,84,Sesame Oil With Garlic Flavor Thin Noodle,2,2,39000
269,84,Traditional Shallot & Onion Oil Noodle,2,2,18000
270,84,Sesame Sauce Matcha Noodle,2,2,26000
271,81,Mr. Noodles Instant Noodles Beef Flavour,2,21,46000
272,3,Cup Noodles Big Seafood Flavour,1,8,30000
273,76,Noodles Chicken Chow Mein Flavour,1,19,29000
274,20,Ramyun Sabor Pollo,2,17,27000
275,3,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,1,8,29000
276,54,Chicken Flavor Ramen,2,1,41000
277,35,2 Minute Noodles Masala Spicy,2,4,20000
278,26,Sopa Maruchan Sobar A Camaron,2,17,23000
279,3,Yakisoba,3,1,10000
280,85,Noodle With Oriental Chicken Flavour,1,19,9000
281,3,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,2,8,34000
282,86,Mi Segera Mmm... Original,2,11,11000
283,3,Cup Noodles Spicy Chile Chicken (New Recipe),1,3,15000
284,70,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,4,13,50000
285,85,Noodles With Chicken Flavour,1,19,26000
286,3,Cup Noodles Seafood,1,13,15000
287,82,Tabimen AizuKitakata Gyokai Shoyu Ramen,4,1,13000
288,3,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,2,8,40000
289,63,Chongqing Noodles Spicy Hot Flavor,2,13,38000
290,6,Buldak Bokkummyun Cheese Flavor,2,5,18000
291,3,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,2,8,12000
292,44,Shin Toyama Black Ramen,4,1,28000
293,3,Cup Noodles Tom Yum Goong Flavour,1,8,18000
294,48,Artificial Abalone Crab Flavor Instant Noodle,2,13,25000
295,72,Noodle King Artificial Abalone And Chicken Soup Flavored,4,8,18000
296,76,Noodles Beef Flavour,1,19,11000
297,3,Korean Kimchi Flavour Vermicelli,1,8,38000
298,3,Raoh Pork Bone Soy Soup Noodle,2,1,21000
299,6,Gold Jjamppong Fried Noodle,2,5,42000
300,3,Demae Iccho Red Hot Seafood Flavour Instant Noodle,1,8,16000
301,63,Chongqing Noodles Hot & Sour Flavor,2,13,11000
302,3,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),4,8,33000
303,3,Raoh Tantanmen,2,1,28000
304,62,Ramen Noodles Soy Sauce Flavor,4,3,20000
305,3,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),1,3,11000
306,87,Hot & Sour Beef Noodles,2,13,44000
307,85,Noodles With Braised Beef Flavour,1,19,28000
308,25,A Q Bucket Noodle Korean Kimchi Flavor,4,2,50000
309,3,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),4,8,5000
310,63,Chongqing Noodles Burning Dry Noodles,2,13,16000
311,6,Fresh Bibimmyun Fried Noodle,2,5,12000
312,71,Instant Noodles Veg Masala Flavour,2,4,22000
313,3,Nupasta Neapolitan Flavour Instant Noodle,2,8,21000
314,60,Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base,2,3,6000
315,3,Disney Cuties Instant Noodle Crab Flavour,1,7,40000
316,3,Cup Noodles Rich Soft Shelled Turle Soup,1,1,32000
317,88,Instant Vegetarian Beehoon Rice Vermicelli,2,2,31000
318,63,Broad Noodle Artificial Beef Flavor Hot Pot,2,13,21000
319,53,Curry Flavour Instant Noodles,1,3,49000
320,89,Tohokuno Aji Yonezawa Ramen,4,1,17000
321,25,Science Noodle (X'Mas Edition),2,2,26000
322,90,Pho Beef Flavor Vietnamese Rice Noodle Soup,4,3,13000
323,72,Instant Wonton Noodles Scallop Lobster Soup Flavour,4,8,38000
324,91,Tom Yam Soup Instant Noodle,2,8,32000
325,62,Ramen Noodles Artificially Flavored Tonkotsu,4,3,41000
326,69,Hiroshima Flavor Yakisoba,3,1,32000
327,3,Disney Cuties Instant Noodle Seaweed Flavour,1,7,15000
328,92,Instant Noodles Mi Goreng Flavour,1,19,31000
329,1,Sugomen Sano Ramen,4,1,14000
330,20,Ramyon Sabor Y Camaron,2,17,45000
331,3,Demae Iccho Spicy XO Sauce Seafood Flavour,2,8,50000
332,93,Sun Dried Noodle - Fruity Soy Bean Paste,2,2,31000
333,13,Shin Noodle Soup,1,3,46000
334,3,Sapporo Noukou Miso Ramen,4,1,31000
335,53,Soy Sauce,1,3,38000
336,3,Vietnamese Chicken Coriander Flavour Vermicelli,1,8,17000
337,50,Artificial Spicy Beef Flavour,2,8,50000
338,3,Cup Noodles Black Pepper Crab Flavour,1,8,42000
339,94,Beef Style Noodles With Vegetables,1,22,32000
340,91,Spicy Soup Instant Noodle Beef Flavour,2,8,20000
341,46,Rice Noodle Anchovy Flavor,4,5,12000
342,3,Cup Noodles Chicken Flavor Ramen Noodle Soup (New Recipe),1,3,14000
343,95,Rumpum Gundruk Flavour,2,23,34000
344,3,Cup Noodle Light+ Bagna Cauda,1,1,17000
345,26,Gotsumori Koku Tonkotsu Ramen,4,1,42000
346,52,Tom Yum Shrimp Creamy Flavour Instant Noodles,4,7,25000
347,16,Bibim Men,4,5,13000
348,3,Cup Noodles Milk Seafood Flavour,1,8,33000
349,3,Spicy Chikin Donburi,4,1,40000
350,76,Noodle Chicken Flavour,1,19,40000
351,73,Kuroma-Yu Tonkotsu Kumamoto Ramen,2,1,19000
352,50,Artificial Beef With Sauerkraut Flavour,2,8,11000
353,3,Raoh Shoyu Ramen,4,1,42000
354,26,Ramen Noodle Soup Sriracha Chicken Flavor,2,3,44000
355,96,Hiyashi Soba Taidashi Goma,2,1,23000
356,91,Bowl Chicken Flavour Instant Rice Vermicelli,4,8,43000
357,71,X-Press Flavour Of Pizza In Noodles Proprietary Food,2,4,13000
358,10,Rice Noodles Fragrant Chicken Pho Ga Flavour,2,6,5000
359,97,Vegetarian Penang White Curry,2,11,37000
360,3,Cup Noodle Seafood,1,1,21000
361,16,Budae Jjigae,2,5,22000
362,76,Noodles Crispy Bacon Flavour,1,19,39000
363,98,Spicy Braised Pork Flavor,2,2,29000
364,3,Demae Ramen Spicy Seafood Flavour Instant Noodle,2,8,39000
365,99,Chow Mein Spicy Flavor,3,2,38000
366,44,Mee Goreng Spicy Flavour,2,6,47000
367,82,Tabimen Nagasaki Chanpon,4,1,25000
368,7,Oh! Ricey Pork Flavour,2,9,16000
369,16,Bul Jjamppong,2,5,39000
370,3,Disney Cuties Instant Noodle Roast Pork Flavour,1,7,44000
371,100,Instant Noodles Masala,2,20,46000
372,3,Demae Ramen Spicy Hot tonkotsu Flavour Instant Noodle,2,8,48000
373,101,Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,2,3,34000
374,3,Big Cup Noodles Tonkotsu Flavour,1,8,24000
375,3,Deka Buto Kuro M-yu Tonkotsu,4,1,21000
376,26,Bowl Taste Of Asia Hearty Pork Flavor Tonkotsu Ramen,4,3,10000
377,3,Cup Noodles Sabor Galinha Caipira,1,24,30000
378,13,Bowl Noodle Soup Independence Day Limited Edition Spicy Chicken Flavor,4,3,48000
379,3,Nupasta Vongole Flavour Instant Noodle,1,8,41000
380,102,Penang Chicken Curry Laksa,1,25,14000
381,102,Shaolin Monk Vegetables,1,25,27000
382,102,Tai Chi Chicken,1,25,48000
383,102,Dragon Fire Mushroom,1,25,42000
384,102,Hong Kong Street Beef,1,25,16000
385,102,Warrior Fighting Shrimp,1,25,19000
386,3,Gyorai Inaniwa Chuka Soba,4,1,17000
387,91,Chicken Flavour Instant Noodle,2,8,43000
388,77,Chicken Flavored Instant Noodles,2,20,6000
389,97,Penang White Curry Instant Noodle,2,11,46000
390,103,XO Scallops Sauce Dry Noodles,2,2,18000
391,44,Barikata Noukou Tonkotsu Shoyu,4,1,8000
392,3,Demae Ramen Sesame Oil Flavour Cup,1,8,27000
393,92,Instant Noodles Chicken Flavour,1,19,11000
394,67,Non-Fried Ramyun Noodle (Crab Flavor),2,5,13000
395,48,Assorted Seafood Noodles,2,13,10000
396,3,Raoh Hot & Sour Ramen,2,1,42000
397,104,Coriander Instant Rice Noodles,4,7,17000
398,83,Instant Rice Noodles Moo Nam Tok Flavour,2,7,5000
399,83,Instant Rice Vermicelli Clear Soup,2,7,21000
400,83,Instant Rice Noodles Chicken Flavour,2,7,34000
401,83,Pho Ga Rice Noodles With Artificial Chicken Flavour,4,7,7000
402,83,Oriental Kitchen Instant Rice Vermicelli In Gravy,2,7,9000
403,83,Instant Tom Yam Rice Noodles,2,7,43000
404,83,Instant Rice Noodles Vegetable Flavour,2,7,28000
405,83,Instant Rice Vermicelli Yentafo Tom Yam Mohfai,2,7,39000
406,83,Instant Flat Noodles Clear Soup,2,7,23000
407,83,Cup Rice Noodles Tom Saab Flavour,1,7,29000
408,83,Instant Rice Noodles Stew Beef Flavour,2,7,13000
409,83,Instant Rice Noodles Phnom Penh Style,2,7,39000
410,83,Instant Flat Noodles Tom Yam Flavour,2,7,17000
411,26,Ramen Noodle soup Mushroom Flavor,2,3,10000
412,105,Vegetable Flavour Instant Noodles,2,6,21000
413,98,Rice Noodle Shallot With Braised Pork Flavor,2,2,45000
414,94,Vegetable Flavour Noodles With Vegetables,1,22,31000
415,87,Instant Noodle Artificial Beef Flavor 7 sour Pickled Cabbage,2,13,8000
416,85,Noodles With Hot & Spicy Flavour,1,19,37000
417,98,Rice Noodle Chinese Mushroom With Soybean Vegetarian Braised Pork Flavor,2,2,23000
418,3,Piritto Karakuchi Tantan Udon,4,1,16000
419,98,Rice Noodle Seafood Laksa Flavour,2,2,5000
420,13,Chal Bibim Myun,2,5,8000
421,106,Japanese Yakisoba Umami Sauce,4,1,21000
422,107,Sazon Casero Sopa Con Tomate Y Sabor Pollo,2,17,11000
423,99,Chow Mein Original Flavor,3,2,21000
424,48,Artificial Mushroom Chicken Flavor Instant Noodle,2,13,22000
425,99,Chow Mein Oyster Sauce BBQ Flavor,3,2,10000
426,108,Aloe Vera Guan Mian Purple Sweet Potato Noodle With Spicy Miso Sauce,2,2,9000
427,108,Black Eyes Bean Original Noodle With Sesame Sauce,2,2,43000
428,108,Aloe Vera Guan Mian Pumpkin Noodle With Basil Sauce,2,2,38000
429,108,Black Eyes Bean Cyanobacteria Noodle With Ginger Oil Sauce,2,2,29000
430,108,Aloe Vera Guan Mian Original Noodle With Sesame Sauce,2,2,28000
431,108,Black Eyes Bean Purple Sweet Potato Noodle With Spicy Miso Sauce,2,2,16000
432,108,Aloe Vera Guan Mian Cyanobacteria Noodle With Ginger Oil Sauce,2,2,40000
433,108,Black Eyes Bean Pumpkin Noodles With Basil Sauce,2,2,35000
434,26,Instant Lunch Pork Flavor Ramen Noodles With Vegetables,1,3,32000
435,82,Kun Ramen Sumo-kuchikin (Smoked Chicken),4,1,8000
436,53,Tonkotsu,1,3,8000
437,3,Lamen Sabor Picanha,2,24,7000
438,109,Lemon Chicken Flavour Instant Noodles,2,9,31000
439,26,Bowl Taste Of Asia Miso Chicken Flavor Spicy Miso Ramen,4,3,36000
